Prec. graph	mMin	mMax
Wee-Mag 	5 	38 
Wee-Mag 	6 	38 
Wee-Mag 	7 	38 
Wee-Mag 	7 	9 
Wee-Mag 	11 	38 
Wee-Mag 	13 	14 
Wee-Mag 	13 	38 
Wee-Mag 	16 	18 
Wee-Mag 	16 	19 
Wee-Mag 	16 	38 
Wee-Mag 	21 	24 
Wee-Mag 	21 	38 
Wee-Mag 	22 	24 
Wee-Mag 	26 	29 
Wee-Mag 	26 	31 
Wee-Mag 	26 	38 
Wee-Mag 	27 	29 
Wee-Mag 	32 	38 
Wee-Mag 	35 	38 
Wee-Mag 	36 	38 
Arcus1 	3 	21 
Arcus1 	4 	21 
Arcus1 	5 	21 
Arcus1 	6 	21 
Arcus1 	7 	21 
Arcus1 	8 	21 
Arcus1 	8 	9 
Arcus1 	11 	12 
Arcus1 	11 	13 
Arcus1 	11 	21 
Arcus1 	15 	17 
Arcus1 	15 	21 
Arcus1 	16 	17 
Arcus1 	19 	21 
Lutz2 	3 	49 
Lutz2 	4 	49 
Lutz2 	7 	49 
Lutz2 	10 	49 
Lutz2 	11 	13 
Lutz2 	11 	49 
Lutz2 	15 	16 
Lutz2 	15 	49 
Lutz2 	18 	28 
Lutz2 	18 	49 
Lutz2 	20 	25 
Lutz2 	20 	26 
Lutz2 	21 	24 
Lutz2 	21 	25 
Lutz2 	22 	24 
Lutz2 	30 	34 
Lutz2 	30 	49 
Lutz2 	32 	34 
Lutz2 	36 	49 
Lutz2 	42 	44 
Lutz2 	42 	49 
Lutz2 	46 	48 
Lutz3 	3 	23 
Lutz3 	4 	23 
Lutz3 	5 	23 
Lutz3 	6 	23 
Lutz3 	7 	9 
Lutz3 	8 	9 
Lutz3 	11 	23 
Lutz3 	12 	14 
Lutz3 	12 	15 
Lutz3 	17 	23 
Lutz3 	18 	21 
Lutz3 	18 	23 
Lutz3 	19 	20 
Lutz3 	19 	21 
Arcus2 	3 	27 
Arcus2 	4 	27 
Arcus2 	4 	8 
Arcus2 	5 	8 
Arcus2 	6 	7 
Arcus2 	6 	8 
Arcus2 	10 	16 
Arcus2 	10 	27 
Arcus2 	11 	16 
Arcus2 	12 	16 
Arcus2 	13 	16 
Arcus2 	14 	16 
Arcus2 	15 	16 
Arcus2 	18 	19 
Arcus2 	18 	27 
Arcus2 	21 	24 
Arcus2 	21 	27 
Arcus2 	22 	23 
Arcus2 	22 	24 
Arcus2 	26 	27 
Barthold 	3 	15 
Barthold 	4 	15 
Barthold 	4 	5 
Barthold 	7 	15 
Barthold 	7 	8 
Barthold 	10 	15 
Barthold 	11 	15 
Barthold 	13 	15 
Barthold 	14 	15 
Barthol2 	3 	28 
Barthol2 	3 	52 
Barthol2 	6 	28 
Barthol2 	8 	10 
Barthol2 	8 	28 
Barthol2 	12 	28 
Barthol2 	13 	18 
Barthol2 	13 	28 
Barthol2 	14 	18 
Barthol2 	20 	25 
Barthol2 	20 	28 
Barthol2 	21 	25 
Barthol2 	22 	25 
Barthol2 	23 	25 
Barthol2 	27 	28 
Barthol2 	30 	34 
Barthol2 	30 	52 
Barthol2 	32 	33 
Barthol2 	32 	34 
Barthol2 	36 	39 
Barthol2 	36 	52 
Barthol2 	37 	39 
Barthol2 	41 	52 
Barthol2 	43 	49 
Barthol2 	43 	52 
Barthol2 	44 	48 
Barthol2 	44 	49 
Barthol2 	45 	47 
Barthol2 	45 	48 
Barthol2 	51 	52 
Scholl 	3 	4 
Scholl 	3 	51 
Scholl 	6 	51 
Scholl 	6 	7 
Scholl 	9 	20 
Scholl 	9 	51 
Scholl 	10 	20 
Scholl 	11 	20 
Scholl 	13 	14 
Scholl 	13 	20 
Scholl 	16 	17 
Scholl 	16 	20 
Scholl 	19 	20 
Scholl 	22 	26 
Scholl 	22 	28 
Scholl 	22 	30 
Scholl 	22 	51 
Scholl 	24 	26 
Scholl 	25 	26 
Scholl 	32 	35 
Scholl 	32 	40 
Scholl 	32 	51 
Scholl 	34 	35 
Scholl 	37 	40 
Scholl 	38 	39 
Scholl 	38 	40 
Scholl 	42 	51 
Scholl 	44 	45 
Scholl 	44 	48 
Scholl 	44 	51 
Scholl 	47 	48 
Scholl 	50 	51 
